Date,Open,High,Low,Close,Volume,Adj Close
2015-10-06,33.540001,34.310001,33.50,34.25,4735200,33.537245
2015-10-05,33.080002,33.990002,33.00,33.700001,3516000,32.998691
2015-10-02,31.950001,33.07,31.790001,33.060001,4126400,32.372011
2015-10-01,32.43,32.709999,31.76,32.09,3669300,31.422196
2015-09-30,31.08,31.67,31.07,31.620001,3247500,30.961977
2015-09-29,30.799999,30.860001,30.42,30.73,2577600,30.090497
2015-09-28,30.92,30.959999,30.15,30.48,7971200,29.8457
2015-09-25,32.060001,32.240002,31.75,31.870001,2228000,31.206774
2015-09-24,31.84,32.439999,31.610001,32.290001,3023400,31.618034
2015-09-23,32.75,32.880001,32.150002,32.150002,2939000,31.480948
2015-09-22,32.709999,33.02,32.509998,32.849998,3249900,32.166378
2015-09-21,34.299999,34.540001,34.07,34.150002,1963700,33.439328
2015-09-18,34.779999,35.23,34.48,34.599998,2109500,33.87996
2015-09-17,35.349998,36.139999,35.16,35.380001,3382700,34.64373
2015-09-16,34.93,35.73,34.880001,35.509998,3304300,34.771022
2015-09-15,33.66,34.299999,33.610001,34.189999,3454900,33.478492
2015-09-14,33.880001,34.200001,33.310001,34.110001,2945600,33.400159
2015-09-11,34.099998,34.18,33.619999,34.07,3427200,33.360991
2015-09-10,34.040001,34.349998,33.740002,33.939999,3058100,33.233695
2015-09-09,35.360001,35.439999,34.00,34.040001,3162200,33.331616
2015-09-08,34.939999,35.400002,34.560001,35.119999,3133700,33.174945
